Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActive Cases,Location Level,CityorRegency,Province,Country,Continent,Island,TimeZone,Special Status,Total Regencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeaths perMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
12,ID-RI,Riau,266,2,78,186,26686,622,24477,1587,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,43.79,4393.41,0.33,102.40,2.33%,91.72%,3.02,1.00
12,ID-SR,Sulawesi Barat,72,4,20,48,2368,53,1685,630,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,46.15,1517.96,2.56,33.97,2.24%,71.16%,6.55,4.00
12,ID-SN,Sulawesi Selatan,638,2,626,10,37766,652,32417,4697,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,67.68,4006.20,0.21,69.16,1.73%,85.84%,1.04,1.00
12,ID-ST,Sulawesi Tengah,252,9,102,141,5017,139,2712,2166,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,85.26,1697.47,3.05,47.03,2.77%,54.06%,2.17,1.50
12,ID-SG,Sulawesi Tenggara,70,1,25,44,8499,165,7107,1227,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,26.56,3224.86,0.38,62.61,1.94%,83.62%,2.41,1.00
12,ID-SA,Sulawesi Utara,79,2,100,-23,10699,346,7776,2577,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,29.90,4049.76,0.76,130.97,3.23%,72.68%,0.53,0.29
12,ID-SB,Sumatera Barat,111,4,19,88,24620,549,18304,5767,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,20.11,4460.76,0.72,99.47,2.23%,74.35%,,1.33
12,ID-SS,Sumatera Selatan,74,1,46,27,12644,621,10196,1827,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,9.01,1538.66,0.12,75.57,4.91%,80.64%,1.54,0.50
12,ID-SU,Sumatera Utara,90,1,95,-6,19212,701,16448,2063,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,6.05,1291.57,0.07,47.13,3.65%,85.61%,0.95,0.33
13,ID-AC,Aceh,24,2,5,17,8991,369,7301,1321,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,4.57,1713.47,0.38,70.32,4.10%,81.20%,0.50,0.50
13,ID-BA,Bali,268,0,2,266,20103,558,12768,6777,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,63.56,4768.07,0.00,132.35,2.78%,63.51%,0.77,0.00
13,ID-BT,Banten,185,1,0,184,21049,414,10936,9699,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,17.25,1963.09,0.09,38.61,1.97%,51.95%,1.06,
13,ID-BE,Bengkulu,51,0,70,-19,4147,130,3617,400,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,25.51,2073.98,0.00,65.01,3.13%,87.22%,1.89,0.00
13,ID-JK,DKI Jakarta,3476,45,2952,479,214728,3595,191557,19576,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,320.48,19797.63,4.15,331.45,1.67%,89.21%,1.30,1.32
13,ID-YO,Daerah Istimewa Yogyakarta,319,5,178,136,15801,341,10520,4940,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,87.85,4351.68,1.38,93.91,2.16%,66.58%,1.19,1.67
13,ID-GO,Gorontalo,0,0,24,-24,4011,106,3662,243,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,0.00,3397.28,0.00,89.78,2.64%,91.30%,0.00,1.00
13,ID-JA,Jambi,78,1,17,60,3727,59,2648,1020,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,22.33,1066.88,0.29,16.89,1.58%,71.05%,2.29,
13,ID-JB,Jawa Barat,1755,11,1068,676,102340,1256,84978,16106,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,38.86,2266.10,0.24,27.81,1.23%,83.03%,1.14,0.73
13,ID-JT,Jawa Tengah,1475,94,729,652,95562,3966,64369,27227,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,40.56,2627.92,2.58,109.06,4.15%,67.36%,1.11,0.95
13,ID-JI,Jawa Timur,815,71,745,-1,95064,6647,81553,6864,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,20.13,2348.48,1.75,164.21,6.99%,85.79%,0.97,1.09
13,ID-KB,Kalimantan Barat,33,0,30,3,3416,28,3093,295,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,6.09,629.93,0.00,5.16,0.82%,90.54%,0.94,1.00
13,ID-KS,Kalimantan Selatan,69,2,37,30,16296,603,14565,1128,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,17.15,4050.66,0.50,149.89,3.70%,89.38%,2.03,2.00
13,ID-KT,Kalimantan Tengah,74,0,2,72,10648,201,5054,5393,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,28.79,4142.72,0.00,78.20,1.89%,47.46%,1.09,1.00
13,ID-KI,Kalimantan Timur,507,3,263,241,31583,830,25669,5084,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,142.73,8891.13,0.84,233.66,2.63%,81.27%,1.50,0.38
13,ID-KU,Kalimantan Utara,134,0,0,134,5273,64,2292,2917,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,206.66,8132.24,0.00,98.70,1.21%,43.47%,0.83,1.00
13,ID-BB,Kepulauan Bangka Belitung,88,3,68,17,3220,56,2479,685,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,63.78,2333.73,2.17,40.59,1.74%,76.99%,2.44,
13,ID-KR,Kepulauan Riau,28,2,16,10,7385,182,6632,571,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,14.51,3827.61,1.04,94.33,2.46%,89.80%,0.88,1.00
13,ID-LA,Lampung,108,17,102,-11,7649,386,5251,2012,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,11.87,840.96,1.87,42.44,5.05%,68.65%,0.56,1.31
13,ID-MA,Maluku,0,0,0,0,5951,74,4796,1081,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,0.00,3221.81,0.00,40.06,1.24%,80.59%,1.00,1.00
13,ID-MU,Maluku Utara,54,0,28,26,3026,94,2549,383,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,41.29,2313.80,0.00,71.88,3.11%,84.24%,2.35,0.00
13,ID-NB,Nusa Tenggara Barat,33,0,0,33,6270,263,3979,2028,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,6.26,1189.70,0.00,49.90,4.19%,63.46%,0.57,1.00
13,ID-NT,Nusa Tenggara Timur,171,4,18,149,2746,73,1583,1090,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,31.60,507.45,0.74,13.49,2.66%,57.65%,4.62,0.57
13,ID-PA,Papua,61,2,12,47,13828,157,8121,5550,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,14.05,3185.92,0.46,36.17,1.14%,58.73%,1.45,
13,ID-PB,Papua Barat,24,1,14,9,6270,105,5710,455,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,21.04,5496.62,0.88,92.05,1.67%,91.07%,0.75,1.00
13,ID-RI,Riau,138,5,89,44,26824,627,24566,1631,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,22.72,4416.13,0.82,103.23,2.34%,91.58%,0.52,2.50
13,ID-SR,Sulawesi Barat,18,1,5,12,2386,54,1690,642,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,11.54,1529.50,0.64,34.62,2.26%,70.83%,0.25,0.25
13,ID-SN,Sulawesi Selatan,648,7,524,117,38414,659,32941,4814,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,68.74,4074.94,0.74,69.91,1.72%,85.75%,1.02,3.50
